pred,actual,var
19.341692,18.9,1.1804265
25.314991,31.0,0.7277568
10.434938,10.4,0.62200487
12.186452,13.0,1.0392706
19.320553,19.3,1.328301
51.082176,46.0,1.0506176
68.87795,64.0,0.67854047
13.445503,8.5,0.78059685
31.787548,32.2,2.4492912
93.35717,88.0,1.968233
96.909706,97.0,2.245703
27.262302,9.0,1.4389683
74.6874,85.0,1.0694667
79.6111,71.0,0.5504054
39.09769,42.7,2.556092
40.406796,59.0,1.4175732
88.19717,71.0,1.3439738
32.10191,29.2,0.59928757
32.66994,30.0,1.8603668
50.99004,48.0,1.781963
47.46353,58.0,0.9814201
50.64663,39.0,1.4656487
34.734547,53.0,1.189842
48.47231,61.1,2.634027
21.743748,25.7,1.5243646
111.08653,88.0,1.4400773
15.66868,16.5,0.9198438
27.559952,21.9,0.9501687
25.157509,20.0,0.7510442
18.095648,8.8,1.0124892
21.71423,21.3,0.9312758
57.5915,56.8,0.7563289
23.86577,23.9,0.9839133
10.350733,10.1,0.75748014
36.29498,38.3,1.4075482
25.564234,21.3,1.0216182
27.5024,23.3,0.74290144
15.490755,25.8,1.933343
113.037926,88.0,1.56426
41.913223,49.0,1.0313963
65.91633,22.0,4.586339
84.26279,90.0,0.91220963
10.658388,9.0,0.74115616
31.475128,24.0,1.4311835
14.986219,8.9,0.85960686
17.262371,2.8,2.1893766
48.61434,45.0,0.9168643
47.413258,49.8,0.84139776
23.243917,25.0,1.0756027
21.174366,25.0,0.5480002
37.714638,40.0,1.0128101
33.764595,30.0,0.6495571
99.1164,98.0,0.9208447
25.475416,29.0,1.5013564
51.924995,46.1,0.6319749
68.23056,55.0,0.6145141
49.778664,53.0,0.8648257
23.625101,18.2,0.8360887
46.795387,51.0,0.53460073
14.703318,6.0,1.2314298
117.006454,131.0,1.5243493
70.65703,74.0,0.59614104
26.226797,19.2,1.8495588
14.956525,20.0,0.80074114
6.239202,6.0,0.83303136
56.95631,84.0,0.5441537
48.91857,49.1,0.88460803
40.279716,43.5,0.80326474
25.662054,18.0,1.4279065
18.57246,27.2,1.6884738
16.942215,13.9,1.1719838
5.504631,10.3,1.0865732
91.5928,72.0,0.80385333
31.604385,37.4,0.8993853
89.2435,72.0,1.4317445
52.621784,87.0,0.96998084
85.26377,91.0,1.5149646
10.332804,6.0,0.704957
52.604286,64.0,0.8432635
32.94703,29.0,1.0022131
11.657004,6.0,0.5487895
9.412806,14.3,1.6648456
13.426168,8.6,2.3342013
48.2572,52.6,1.7299592
69.38647,60.9,0.6071271
70.106346,81.0,1.8701243
67.35262,56.0,1.2348151
48.695194,78.9,1.6245233
65.22096,65.5,1.1210825
29.725824,34.5,1.2051332
38.25434,39.6,0.87734294
35.862225,39.1,0.92680764
18.507626,23.1,0.85270643
97.19982,86.0,0.9744801
17.229704,19.3,0.7899258
8.122877,12.0,1.4315143
5.272443,8.0,0.77190375
79.35193,72.0,1.1625067
49.018776,46.0,1.5895629
28.355762,20.0,0.8191292
66.77187,68.0,0.7468588
46.895535,47.9,1.1883982
32.282887,6.1,4.3298507
34.87374,20.6,1.9077833
40.478016,40.0,1.1469789
56.262978,63.6,0.9504123
53.33495,39.0,0.8383519
8.492723,5.0,0.57908046
44.21397,43.9,0.8105784
51.371532,48.0,2.0145688
66.86555,30.0,0.9581078
57.37016,60.0,1.3564328
6.7460837,6.2,0.96441036
32.275238,29.3,0.5722537
73.63728,81.0,0.8711851
22.400894,25.6,0.50340956
64.228264,62.0,3.154533
8.921427,8.5,0.52994037
29.229534,15.0,1.0707518
13.138901,21.0,1.3117282
49.55208,50.0,0.93978107
9.339443,6.3,0.91754436
48.07068,160.0,3.0746794
23.503132,11.0,1.4324266
68.40264,80.8,2.110348
43.55799,49.0,0.7124001
80.12685,90.0,0.8898879
4.6413884,22.0,0.7334327
7.4207067,17.0,0.64161897
52.862072,54.1,3.3743124
96.06243,85.1,0.9585123
34.861786,27.0,3.9585018
21.642218,10.0,1.5977311
7.744394,0.0,1.2895823
46.276863,50.0,1.2404026
28.979717,23.0,1.6770949
66.25549,61.0,0.7866023
28.568089,32.2,0.71544784
27.727795,29.0,1.1808854
102.971054,116.0,0.95218617
14.301046,17.9,1.1030854
75.54492,72.9,0.96387655
101.70885,91.0,1.0530062
9.3732815,-7.0,1.1245118
5.896416,15.0,0.71536654
43.00306,43.9,3.675245
35.343082,28.0,0.88621175
28.799341,48.6,1.1029677
43.29086,45.0,0.60675794
83.313934,75.9,1.1709162
75.198814,60.0,1.879774
24.926653,23.5,1.5097353
27.350042,38.0,1.4719138
93.734024,81.0,2.2137098
48.520855,53.0,1.2122704
73.419716,5.0,6.8465867
27.20934,27.0,0.91508824
